lon,main_name,names,wikiurl,lat,population
8.44777778,"""Ludwigshafen am Rhein""","[""Ludwigshafen"", ""Ludwigshafen/Rhein"", ""Ludwigshafen am Rhein"", ""Ludwigshafen_am_Rhein""]","""https://de.wikipedia.org/wiki/Ludwigshafen_am_Rhein""",49.48305556,168497
7.24166667,"""Haren (Ems)""","[""Altharen"", ""Maczk\u00f3w"", ""Haren (Ems)"", ""Haren"", ""Haren_(Ems)""]","""https://de.wikipedia.org/wiki/Haren_(Ems)""",52.79027778,23665
9.59805556,"""Seelze""","[""Seelze"", ""Seelze""]","""https://de.wikipedia.org/wiki/Seelze""",52.39611111,34036
6.4,"""Rees""","[""Rees"", ""Rees""]","""https://de.wikipedia.org/wiki/Rees""",51.76666667,21137
9.45722222,"""Neustadt am R\u00fcbenberge""","[""Neustadt am R\u00fcbenberge"", ""Neustadt_am_R%C3%BCbenberge""]","""https://de.wikipedia.org/wiki/Neustadt_am_R%C3%BCbenberge""",52.50305556,43964
7.849881,"""Freiburg im Breisgau""","[""Freiburg"", ""Freiburg i. B."", ""Freiburg i. Br."", ""Freiburg/Breisgau"", ""Freiburg im Breisgau"", ""Freiburg_im_Breisgau""]","""https://de.wikipedia.org/wiki/Freiburg_im_Breisgau""",47.994828,229636
8.79472222,"""Osterholz-Scharmbeck""","[""Osterholz-Scharmbeck"", ""Osterholz-Scharmbeck""]","""https://de.wikipedia.org/wiki/Osterholz-Scharmbeck""",53.22694444,30329
10.71833333,"""Gotha""","[""Gotha"", ""Gotha""]","""https://de.wikipedia.org/wiki/Gotha""",50.94888889,45589
9.43666667,"""Flensburg""","[""Flensburg"", ""Flensburg""]","""https://de.wikipedia.org/wiki/Flensburg""",54.78194444,88519
11.45555556,"""Aschersleben""","[""Aschersleben"", ""Aschersleben""]","""https://de.wikipedia.org/wiki/Aschersleben""",51.75555556,27712
8.1,"""Wilnsdorf""","[""Wilnsdorf"", ""Wilnsdorf""]","""https://de.wikipedia.org/wiki/Wilnsdorf""",50.81666667,20244
6.65,"""Bergheim""","[""Bergheim (Erft)"", ""Bergheim/Erft"", ""Bergheim"", ""Bergheim""]","""https://de.wikipedia.org/wiki/Bergheim""",50.96666667,61099
11.42444444,"""Ingolstadt""","[""Ingolstadt, St"", ""Ingolstadt"", ""Ingolstadt""]","""https://de.wikipedia.org/wiki/Ingolstadt""",48.76555556,135244
11.97222222,"""Wei\u00dfenfels""","[""Wei\u00dfenfels"", ""Wei%C3%9Fenfels""]","""https://de.wikipedia.org/wiki/Wei%C3%9Fenfels""",51.20111111,40874
7.04166667,"""Gronau (Westf.)""","[""Gronau (Westf.)"", ""Gronau/Westfalen"", ""Gronau"", ""Gronau_(Westf.)""]","""https://de.wikipedia.org/wiki/Gronau_(Westf.)""",52.2125,47671
8.70611111,"""Bretten""","[""G\u00f6lshausen"", ""Neibsheim"", ""Ruit"", ""Sprantal"", ""D\u00fcrrenb\u00fcchig"", ""Rinklingen"", ""Bretten"", ""Bretten""]","""https://de.wikipedia.org/wiki/Bretten""",49.03638889,29336
12.92416667,"""Chemnitz""","[""Karl-Marx-Stadt"", ""Chemnitz"", ""Chemnitz""]","""https://de.wikipedia.org/wiki/Chemnitz""",50.83222222,246855
7.87333333,"""Plettenberg""","[""Plettenberg"", ""Plettenberg""]","""https://de.wikipedia.org/wiki/Plettenberg""",51.21527778,25414
6.6439,"""Trier""","[""Augusta Treverorum"", ""Trier"", ""Trier""]","""https://de.wikipedia.org/wiki/Trier""",49.7596,110013
8.87083333,"""Herrenberg""","[""Herrenberg"", ""Herrenberg""]","""https://de.wikipedia.org/wiki/Herrenberg""",48.59666667,31499
9.83055556,"""Geislingen an der Steige""","[""Aufhausen"", ""Waldhausen"", ""St\u00f6tten"", ""T\u00fcrkheim"", ""Eybach"", ""Geislingen/Steige"", ""Altenstadt"", ""Geislingen"", ""Geislingen an der Steige"", ""Geislingen_an_der_Steige""]","""https://de.wikipedia.org/wiki/Geislingen_an_der_Steige""",48.62444444,28021
7.59388889,"""Koblenz""","[""Koblenz"", ""Koblenz""]","""https://de.wikipedia.org/wiki/Koblenz""",50.35666667,113844
8.48180556,"""Gro\u00df-Gerau""","[""Gro\u00df-Gerau"", ""Gro%C3%9F-Gerau""]","""https://de.wikipedia.org/wiki/Gro%C3%9F-Gerau""",49.92138889,24839
8.56805556,"""Brilon""","[""Brilon"", ""Brilon""]","""https://de.wikipedia.org/wiki/Brilon""",51.39527778,25501
7.01055556,"""Haan""","[""Haan"", ""Haan""]","""https://de.wikipedia.org/wiki/Haan""",51.19222222,30483
8.63388889,"""Delmenhorst""","[""Delmenhorst"", ""Delmenhorst""]","""https://de.wikipedia.org/wiki/Delmenhorst""",53.04972222,77521
11.58361111,"""Sta\u00dffurt""","[""Stassfurt"", ""Sta\u00dffurt"", ""Sta%C3%9Ffurt""]","""https://de.wikipedia.org/wiki/Sta%C3%9Ffurt""",51.85083333,25830
12.64888889,"""Traunstein""","[""Traunstein"", ""Traunstein""]","""https://de.wikipedia.org/wiki/Traunstein""",47.87166667,20172
8.58043333,"""B\u00fcnde""","[""Zigarrenstadt"", ""B\u00fcnde"", ""B%C3%BCnde""]","""https://de.wikipedia.org/wiki/B%C3%BCnde""",52.19726944,45712
12.49222222,"""Zwickau""","[""Zwickau"", ""Zwickau""]","""https://de.wikipedia.org/wiki/Zwickau""",50.71888889,90192
7.62972222,"""L\u00fcdenscheid""","[""L\u00fcdenscheid"", ""L%C3%BCdenscheid""]","""https://de.wikipedia.org/wiki/L%C3%BCdenscheid""",51.21833333,72894
7.25,"""Blieskastel""","[""Blieskastel"", ""Blieskastel""]","""https://de.wikipedia.org/wiki/Blieskastel""",49.23305556,20770
9.980555,"""Henstedt-Ulzburg""","[""Ulzburg"", ""Henstedt-Ulzburg"", ""Henstedt-Ulzburg""]","""https://de.wikipedia.org/wiki/Henstedt-Ulzburg""",53.790515,28056
7.28333333,"""Hennef (Sieg)""","[""Hennef"", ""Stadt der 100 D\u00f6rfer"", ""Hennef (Sieg)"", ""Hennef_(Sieg)""]","""https://de.wikipedia.org/wiki/Hennef_(Sieg)""",50.78333333,47293
9.65,"""Hann. M\u00fcnden""","[""Hann M\u00fcnden"", ""Hann\u00f6verisch M\u00fcnden"", ""Hannoversch-M\u00fcnden"", ""Hannoversch M\u00fcnden"", ""Hann. M\u00fcnden"", ""Hann._M%C3%BCnden""]","""https://de.wikipedia.org/wiki/Hann._M%C3%BCnden""",51.41666667,23853
7.62944444,"""Weil am Rhein""","[""Weil/Rhein"", ""Weil am Rhein"", ""Weil_am_Rhein""]","""https://de.wikipedia.org/wiki/Weil_am_Rhein""",47.59416667,30197
8.50333333,"""Donaueschingen""","[""Aufen"", ""Hubertshofen"", ""Wolterdingen"", ""Gr\u00fcningen"", ""Aasen"", ""Heidenhofen"", ""Allmendshofen"", ""Pfohren"", ""Donaueschingen"", ""Donaueschingen""]","""https://de.wikipedia.org/wiki/Donaueschingen""",47.95305556,22485
11.56666667,"""Unterschlei\u00dfheim""","[""Unterschleissheim"", ""Unterschlei\u00dfheim"", ""Unterschlei%C3%9Fheim""]","""https://de.wikipedia.org/wiki/Unterschlei%C3%9Fheim""",48.28333333,28809
8.90925,"""Eppingen""","[""Eppingen"", ""Eppingen""]","""https://de.wikipedia.org/wiki/Eppingen""",49.13694444,21522
8.135,"""Varel""","[""Hohelucht"", ""Rallenb\u00fcschen"", ""Hohenberge"", ""Altj\u00fchrden"", ""Plaggenkrug"", ""Dangastermoor"", ""Jethausen"", ""Bramloge"", ""Tange"", ""Neuenwege"", ""Rahling"", ""Moorhausen"", ""Almsee"", ""Logemoor"", ""Vareler Schleuse"", ""Rosenberg"", ""Varel"", ""Varel""]","""https://de.wikipedia.org/wiki/Varel""",53.39472222,23925
7.25083333,"""Oer-Erkenschwick""","[""Oer-Erkenschwick"", ""Oer-Erkenschwick""]","""https://de.wikipedia.org/wiki/Oer-Erkenschwick""",51.64222222,31378
13.27944444,"""Hohen Neuendorf""","[""Hohen Neuendorf"", ""Hohen_Neuendorf""]","""https://de.wikipedia.org/wiki/Hohen_Neuendorf""",52.67111111,26001
6.44194444,"""M\u00f6nchengladbach""","[""M\u00f6nchengladbach"", ""M%C3%B6nchengladbach""]","""https://de.wikipedia.org/wiki/M%C3%B6nchengladbach""",51.19111111,262188
8.16055556,"""Taunusstein""","[""Taunusstein"", ""Taunusstein""]","""https://de.wikipedia.org/wiki/Taunusstein""",50.14347222,29746
8.93444444,"""Rottenburg am Neckar""","[""Rottenburg"", ""Rottenburg/Neckar"", ""Rottenburg am Neckar"", ""Rottenburg_am_Neckar""]","""https://de.wikipedia.org/wiki/Rottenburg_am_Neckar""",48.47722222,43615
8.80731111,"""Bremen""","[""Hansestadt Bremen"", ""Bremen"", ""Bremen""]","""https://de.wikipedia.org/wiki/Bremen""",53.07587778,568006
9.87972222,"""Laupheim""","[""Laupheim"", ""Laupheim""]","""https://de.wikipedia.org/wiki/Laupheim""",48.22888889,22136
11.74888889,"""Freising""","[""Freising"", ""Freising""]","""https://de.wikipedia.org/wiki/Freising""",48.40277778,48318
8.00972222,"""Bad Zwischenahn""","[""Zwischenahn"", ""Bad Zwischenahn"", ""Bad_Zwischenahn""]","""https://de.wikipedia.org/wiki/Bad_Zwischenahn""",53.18361111,28507
8.03333333,"""Georgsmarienh\u00fctte""","[""Georgsmarienh\u00fctte"", ""Georgsmarienh%C3%BCtte""]","""https://de.wikipedia.org/wiki/Georgsmarienh%C3%BCtte""",52.20722222,31624
6.81388889,"""Frechen""","[""Frechen"", ""Frechen""]","""https://de.wikipedia.org/wiki/Frechen""",50.91333333,52212
9.17527778,"""Konstanz""","[""Konstanz"", ""Konstanz""]","""https://de.wikipedia.org/wiki/Konstanz""",47.66333333,84440
9.1852,"""Kornwestheim""","[""Kornwestheim"", ""Kornwestheim""]","""https://de.wikipedia.org/wiki/Kornwestheim""",48.8598,33766
7.62869444,"""M\u00fcnster""","[""Monasterium"", ""M\u00f6nster"", ""M\u00fcnster (Westf)"", ""M\u00fcnster (Westfalen)"", ""M\u00fcnster"", ""M%C3%BCnster""]","""https://de.wikipedia.org/wiki/M%C3%BCnster""",51.96294444,313559
8.8394,"""M\u00fchlacker""","[""M\u00fchlacker"", ""M%C3%BChlacker""]","""https://de.wikipedia.org/wiki/M%C3%BChlacker""",48.9501,26008
12.5925,"""Traunreut""","[""Traunreut"", ""Traunreut""]","""https://de.wikipedia.org/wiki/Traunreut""",47.96194444,20934
8.92137222,"""Porta Westfalica (Stadt)""","[""Porta Westfalica"", ""Porta_Westfalica_(Stadt)""]","""https://de.wikipedia.org/wiki/Porta_Westfalica_(Stadt)""",52.2401,35660
9.52629,"""Schorndorf""","[""Schorndorf"", ""Schorndorf""]","""https://de.wikipedia.org/wiki/Schorndorf""",48.80463,39601
9.19194444,"""Gelnhausen""","[""Geografischer Mittelpunkt der Europ\u00e4ischen Union"", ""Gelnhausen"", ""Gelnhausen""]","""https://de.wikipedia.org/wiki/Gelnhausen""",50.20083333,22873
12.3325,"""Rathenow""","[""Amt Rathenow"", ""Rathenow"", ""Rathenow""]","""https://de.wikipedia.org/wiki/Rathenow""",52.6075,24309
6.1275,"""W\u00fcrselen""","[""W\u00fcrselen"", ""W%C3%BCrselen""]","""https://de.wikipedia.org/wiki/W%C3%BCrselen""",50.82472222,38934
8.50444444,"""Wetzlar""","[""Wetzlar"", ""Wetzlar""]","""https://de.wikipedia.org/wiki/Wetzlar""",50.55777778,52828
8.57694444,"""Oberursel (Taunus)""","[""Oberursel (Taunus)"", ""Oberursel/Taunus"", ""Oberursel"", ""Oberursel_(Taunus)""]","""https://de.wikipedia.org/wiki/Oberursel_(Taunus)""",50.20277778,46069
9.681372,"""Fulda""","[""Fulda"", ""Fulda""]","""https://de.wikipedia.org/wiki/Fulda""",50.555894,67973
8.62305556,"""L\u00fcbbecke""","[""L\u00fcbbecke"", ""L%C3%BCbbecke""]","""https://de.wikipedia.org/wiki/L%C3%BCbbecke""",52.30805556,25499
8.58194444,"""Weiterstadt""","[""Weiterstadt"", ""Weiterstadt""]","""https://de.wikipedia.org/wiki/Weiterstadt""",49.90583333,25843
8.06466667,"""Arnsberg""","[""Arnsberg"", ""Arnsberg""]","""https://de.wikipedia.org/wiki/Arnsberg""",51.39666667,73814
11.05226,"""Halberstadt""","[""Halberstadt"", ""Halberstadt""]","""https://de.wikipedia.org/wiki/Halberstadt""",51.89504,40871
7.18666667,"""Sankt Augustin""","[""St. Augustin"", ""Sankt Augustin"", ""Sankt_Augustin""]","""https://de.wikipedia.org/wiki/Sankt_Augustin""",50.77,55873
