lat,names,price_avg,pop,boundingbox,osm_id,price,place_id,price_min,lon,price_max
51.1946983,"[""M\u00f6nchengladbach, Regierungsbezirk D\u00fcsseldorf, Nordrhein-Westfalen, 41061, Deutschland"", ""M\u00f6nchengladbach "", ""M\u00f6nchengladbach""]",1880.0,262188,"[51.0346983, 51.3546983, 6.2753641, 6.5953641]",240062631,"""""",585387,518.5,6.4353641,5640.0
51.5110321,"[""Gelsenkirchen, Regierungsbezirk M\u00fcnster, Nordrhein-Westfalen, Deutschland"", ""Gelsenkirchen"", ""Gelsenkirchen ""]",1476.4,260305,"[51.4808012, 51.6315932, 6.9874995, 7.152327]",62522,"""""",197456683,502.2,7.0960124,3976.6
52.2646577,"[""Braunschweig, Niedersachsen, Deutschland"", ""Braunschweig"", ""Braunschweig ""]",2534.5,248023,"[52.1867942, 52.3573831, 10.4124522, 10.6449081]",62531,"""""",197692674,800.0,10.5236066,4602.6
54.3227085,"[""Kiel, Schleswig-Holstein, 24103, Deutschland"", ""Kiel "", ""Kiel""]",2412.2,247943,"[54.1627085, 54.4827085, 9.975555, 10.295555]",24487450,"""""",119344,533.3,10.135555,7236.6
50.8322608,"[""Chemnitz, Sachsen, 09111, Deutschland"", ""Chemnitz "", ""Chemnitz""]",1658.0,246855,"[50.6722608, 50.9922608, 12.7652977, 13.0852977]",20830918,"""""",120397,505.4,12.9252977,4974.0
50.776351,"[""Aachen, St\u00e4dteregion Aachen, Regierungsbezirk K\u00f6ln, Nordrhein-Westfalen, Deutschland"", ""Aachen "", ""Aachen""]",2510.6,246272,"[50.6621399, 50.8572449, 5.9748624, 6.2180747]",62564,"""""",197457664,834.5,6.083862,5132.7
51.4825041,"[""Halle (Saale), Sachsen-Anhalt, 06108, Deutschland"", ""Halle (Saale)""]","""""",239173,"[51.3225041, 51.6425041, 11.8105452, 12.1305452]",1667005776,"""""",17465807,"""""",11.9705452,""""""
52.1315889,"[""Magdeburg, Sachsen-Anhalt, 39104, Deutschland"", ""Magdeburg"", ""Magdeburg ""]",2050.0,238478,"[51.9715889, 52.2915889, 11.4799609, 11.7999609]",33997995,"""""",201537,505.6,11.6399609,5389.0
48.0021641,"[""Freiburg im Breisgau, Regierungsbezirk Freiburg, Baden-W\u00fcrttemberg, 79144, Deutschland"", ""Freiburg im Breisgau""]","""""",229636,"[47.3621641, 48.6421641, 7.1838644, 8.4638644]",21973469,"""""",118860,"""""",7.8238644,""""""
51.3331205,"[""Krefeld, Regierungsbezirk D\u00fcsseldorf, Nordrhein-Westfalen, 47798, Deutschland"", ""Krefeld "", ""Krefeld""]",2262.8,226699,"[51.1731205, 51.4931205, 6.4023343, 6.7223343]",240048753,"""""",577991,541.7,6.5623343,6788.4
53.866444,"[""L\u00fcbeck, Schleswig-Holstein, 23552, Deutschland"", ""L\u00fcbeck "", ""L\u00fcbeck""]",2280.6,216318,"[53.706444, 54.026444, 10.524738, 10.844738]",25327151,"""""",120877,841.8,10.684738,6841.8
50.0012314,"[""Mainz, Rheinland-Pfalz, 55116, Deutschland"", ""Mainz"", ""Mainz ""]",3497.5,215110,"[49.8412314, 50.1612314, 8.1162513, 8.4362513]",240116263,"""""",592158,871.0,8.2762513,9388.9
50.9777974,"[""Erfurt, Th\u00fcringen, 99084, Deutschland, Europe"", ""Erfurt "", ""Erfurt""]",2377.8,212988,"[50.8177974, 51.1377974, 10.8687364, 11.1887364]",240038130,"""""",584672,506.7,11.0287364,4857.7
51.51399325,"[""Oberhausen, Regierungsbezirk D\u00fcsseldorf, Nordrhein-Westfalen, Deutschland"", ""Oberhausen"", ""Oberhausen ""]",1845.0,211422,"[51.4486973, 51.5799378, 6.7772836, 6.9304578]",62734,"""""",198110355,566.5,6.84932276128192,3831.8
54.0924445,"[""Rostock, Mecklenburg-Vorpommern, 18057, Deutschland"", ""Rostock"", ""Rostock ""]",2818.4,208409,"[53.9324445, 54.2524445, 11.9686127, 12.2886127]",1684321651,"""""",17538915,864.4,12.1286127,6566.7
51.3076867,"[""Kassel, Regierungsbezirk Kassel, Hessen, Deutschland, Europe"", ""Kassel"", ""Kassel ""]",2268.7,200736,"[51.2604367, 51.3690107, 9.3500845, 9.5697643]",62598,"""""",197435167,508.9,9.4624705,6156.2
51.3582945,"[""Hagen, Regierungsbezirk Arnsberg, Nordrhein-Westfalen, 58095, Deutschland"", ""Hagen "", ""Hagen""]",1733.0,187730,"[51.1982945, 51.5182945, 7.313296, 7.633296]",240110547,"""""",596250,500.0,7.473296,4587.2
49.234362,"[""Saarbr\u00fccken, Regionalverband Saarbr\u00fccken, Saarland, Deutschland"", ""Saarbr\u00fccken"", ""Saarbr\u00fccken ""]",1593.3,180966,"[49.1721922, 49.3220676, 6.8276387, 7.1380203]",1187159,"""""",198361653,504.4,6.996379,4779.9
51.6616271,"[""Hamm, Regierungsbezirk Arnsberg, Nordrhein-Westfalen, Deutschland"", ""Hamm "", ""Hamm""]",1897.1,179185,"[51.5786497, 51.7445915, 7.6747699, 7.9974351]",62499,"""""",198732025,542.7,7.82168312484634,3374.4
52.4009309,"[""Potsdam, Brandenburg, 14467, Deutschland"", ""Potsdam"", ""Potsdam ""]",4032.3,175710,"[52.2409309, 52.5609309, 12.8991397, 13.2191397]",1695218178,"""""",17825094,700.0,13.0591397,9438.8
51.4272925,"[""M\u00fclheim, Regierungsbezirk D\u00fcsseldorf, Nordrhein-Westfalen, Deutschland"", ""M\u00fclheim an der Ruhr"", ""M\u00fclheim ""]",2633.6,171265,"[51.3507415, 51.47145, 6.8066678, 6.9595443]",62385,"""""",198020287,568.5,6.8829192,7900.8
49.487297,"[""Ludwigshafen am Rhein, Rheinland-Pfalz, Deutschland"", ""Ludwigshafen am Rhein""]","""""",168497,"[49.4266985, 49.5480579, 8.2982215, 8.4769401]",62347,"""""",197695253,"""""",8.39006577268274,""""""
53.1389753,"[""Oldenburg, Niedersachsen, 26122, Deutschland"", ""Oldenburg "", ""Oldenburg (Oldenburg)""]",2575.8,167081,"[52.9789753, 53.2989753, 8.0546017, 8.3746017]",277023297,"""""",834049,812.0,8.2146017,7095.2
52.266837,"[""Osnabr\u00fcck, Niedersachsen, 49074, Deutschland"", ""Osnabr\u00fcck"", ""Osnabr\u00fcck ""]",2112.7,164374,"[52.106837, 52.426837, 7.889741, 8.209741]",240056905,"""""",583836,873.5,8.049741,6338.1
51.0324743,"[""Leverkusen, Regierungsbezirk K\u00f6ln, Nordrhein-Westfalen, 51373, Deutschland"", ""Leverkusen"", ""Leverkusen ""]",2666.7,163577,"[50.8724743, 51.1924743, 6.8281194, 7.1481194]",1651889631,"""""",17346888,923.1,6.9881194,7617.6
49.4093582,"[""Heidelberg, Regierungsbezirk Karlsruhe, Baden-W\u00fcrttemberg, 69120, Deutschland"", ""Heidelberg "", ""Heidelberg""]",3407.1,160601,"[49.2493582, 49.5693582, 8.534724, 8.854724]",240058050,"""""",584046,841.8,8.694724,9729.7
51.1712468,"[""Solingen, Regierungsbezirk D\u00fcsseldorf, Nordrhein-Westfalen, 42651, Deutschland"", ""Solingen "", ""Solingen""]",2179.8,158803,"[51.0112468, 51.3312468, 6.9238996, 7.2438996]",240072888,"""""",580204,714.8,7.0838996,6133.3
49.872775,"[""Darmstadt, Regierungsbezirk Darmstadt, Hessen, 64283, Deutschland"", ""Darmstadt""]","""""",158254,"[49.712775, 50.032775, 8.491177, 8.811177]",240074718,"""""",592779,"""""",8.651177,""""""
51.5380394,"[""Herne, Regierungsbezirk Arnsberg, Nordrhein-Westfalen, 44623, Deutschland"", ""Herne"", ""Herne ""]",1797.8,156490,"[51.3780394, 51.6980394, 7.059985, 7.379985]",21315295,"""""",114135,509.4,7.219985,4905.7
51.1981778,"[""Neuss, Rhein-Kreis Neuss, Regierungsbezirk D\u00fcsseldorf, Nordrhein-Westfalen, Deutschland"", ""Neuss"", ""Neuss ""]",3329.9,153810,"[51.1167565, 51.2356105, 6.6148193, 6.798347]",163307,"""""",198350301,869.6,6.6916476,9989.7
49.0195333,"[""Rgbg, Regensburg, OPf, Bayern, 93047, Deutschland"", ""Regensburg "", ""Regensburg""]",3680.5,150894,"[48.8595333, 49.1795333, 11.9374869, 12.2574869]",240120926,"""""",603495,1151.1,12.0974869,8588.2
51.71895955,"[""Paderborn, Kreis Paderborn, Regierungsbezirk Detmold, Nordrhein-Westfalen, Deutschland"", ""Paderborn "", ""Paderborn""]",2290.2,149075,"[51.6793659, 51.7587989, 8.7104923, 8.8354886]",5610766,"""""",199025344,765.5,8.76486977817756,5216.8
48.7630165,"[""Ingolstadt, Obb, Bayern, 85057, Deutschland"", ""Ingolstadt"", ""Ingolstadt ""]",4063.1,135244,"[48.6030165, 48.9230165, 11.2650395, 11.5850395]",2110382406,"""""",21577311,941.2,11.4250395,8888.9
50.1055002,"[""Offenbach am Main, Regierungsbezirk Darmstadt, Hessen, 63065, Deutschland"", ""Offenbach am Main"", ""Offenbach ""]",3325.0,126658,"[49.9455002, 50.2655002, 8.6010698, 8.9210698]",240072040,"""""",597947,996.0,8.7610698,6584.4
49.79245,"[""W\u00fcrzburg, Unterfranken, Bayern, 97070, Deutschland"", ""W\u00fcrzburg "", ""W\u00fcrzburg""]",2948.2,126635,"[49.63245, 49.95245, 9.772966, 10.092966]",25738881,"""""",127502,851.2,9.932966,8844.6
49.477263,"[""F\u00fcrth, Mittelfranken, Bayern, 90762, Deutschland"", ""F\u00fcrth "", ""F\u00fcrth""]",3749.2,126526,"[49.317263, 49.637263, 10.829616, 11.149616]",1602111978,"""""",17208290,665.8,10.989616,8010.8
48.3973944,"[""Ulm, Regierungsbezirk T\u00fcbingen, Baden-W\u00fcrttemberg, Deutschland"", ""Ulm""]","""""",125596,"[48.3066627, 48.4685153, 9.8420502, 10.0428303]",62495,"""""",198678443,"""""",9.9932755,""""""
49.142291,"[""Heilbronn, Regierungsbezirk Stuttgart, Baden-W\u00fcrttemberg, 74072, Deutschland"", ""Heilbronn "", ""Heilbronn""]",2916.5,125113,"[48.982291, 49.302291, 9.058655, 9.378655]",26769661,"""""",139300,1178.9,9.218655,8280.2
48.8908846,"[""Pforzheim, Regierungsbezirk Karlsruhe, Baden-W\u00fcrttemberg, 75175, Deutschland"", ""Pforzheim "", ""Pforzheim""]",2533.3,124289,"[48.7308846, 49.0508846, 8.5429532, 8.8629532]",240046032,"""""",586618,800.0,8.7029532,6926.0
52.4205588,"[""Wolfsburg, Niedersachsen, 38440, Deutschland"", ""Wolfsburg "", ""Wolfsburg""]",2646.0,123914,"[52.2605588, 52.5805588, 10.6261682, 10.9461682]",31172722,"""""",164237,906.2,10.7861682,5514.7
51.5327604,"[""G\u00f6ttingen, Landkreis G\u00f6ttingen, Niedersachsen, Deutschland, Europe"", ""G\u00f6ttingen""]","""""",119529,"[51.4830052, 51.5908839, 9.8001329, 10.0536032]",191361,"""""",198140226,"""""",9.9352051,""""""
51.521581,"[""Bottrop, Regierungsbezirk M\u00fcnster, Nordrhein-Westfalen, 46236, Deutschland"", ""Bottrop "", ""Bottrop""]",1966.5,117364,"[51.361581, 51.681581, 6.769204, 7.089204]",240026265,"""""",571017,721.4,6.929204,5387.6
48.4919508,"[""Reutlingen, Landkreis Reutlingen, Regierungsbezirk T\u00fcbingen, Baden-W\u00fcrttemberg, Deutschland"", ""Reutlingen "", ""Reutlingen""]",3056.8,115762,"[48.4126792, 48.5786138, 9.1148655, 9.2555868]",2772661,"""""",199192216,785.7,9.2114144,7619.0
50.3533278,"[""Koblenz, Rheinland-Pfalz, 56068, Deutschland"", ""Koblenz "", ""Koblenz""]",2335.0,113844,"[50.1933278, 50.5133278, 7.4343951, 7.7543951]",240102654,"""""",593176,529.3,7.5943951,5970.0
51.6143815,"[""Recklinghausen, Kreis Recklinghausen, Regierungsbezirk M\u00fcnster, Nordrhein-Westfalen, Deutschland"", ""Recklinghausen "", ""Recklinghausen""]",1734.7,113360,"[51.5527602, 51.6514493, 7.1347922, 7.2962721]",56665,"""""",197686303,546.3,7.1978546,3973.7
53.5522264,"[""Bremerhaven, Bremen, Deutschland"", ""Bremerhaven"", ""Bremerhaven ""]",1319.1,113026,"[53.4711654, 53.6101863, 8.48301, 8.6593672]",62658,"""""",198028882,500.0,8.5865509,3957.3
50.9929303,"[""Bergisch Gladbach, Rheinisch-Bergischer Kreis, Regierungsbezirk K\u00f6ln, Nordrhein-Westfalen, Deutschland"", ""Bergisch Gladbach"", ""Bergisch Gladbach ""]",2986.8,111627,"[50.9199924, 51.0269392, 7.0617856, 7.2545737]",173103,"""""",197832447,557.7,7.1277379,8166.7
50.9281717,"[""Jena, Th\u00fcringen, 07743, Deutschland"", ""Jena "", ""Jena""]",2361.7,111099,"[50.7681717, 51.0881717, 11.4279359, 11.7479359]",240090160,"""""",596371,540.0,11.5879359,6413.0
49.5981187,"[""Erlangen, Mittelfranken, Bayern, 91052, Deutschland"", ""Erlangen "", ""Erlangen""]",3273.8,110998,"[49.4381187, 49.7581187, 10.843645, 11.163645]",17193023,"""""",110269,923.1,11.003645,9375.0
51.1798706,"[""Remscheid, Regierungsbezirk D\u00fcsseldorf, Nordrhein-Westfalen, 42853, Deutschland"", ""Remscheid"", ""Remscheid ""]",1830.8,110584,"[51.0198706, 51.3398706, 7.0343544, 7.3543544]",240063145,"""""",581309,500.0,7.1943544,5492.4
49.7596208,"[""Trier, Rheinland-Pfalz, 54290, Deutschland"", ""Trier "", ""Trier""]",2044.4,110013,"[49.5996208, 49.9196208, 6.4841878, 6.8041878]",31941291,"""""",194268,507.4,6.6441878,6000.0
52.1503721,"[""Salzgitter, Niedersachsen, 38226, Deutschland"", ""Salzgitter"", ""Salzgitter ""]",1500.0,104548,"[51.9903721, 52.3103721, 10.1993147, 10.5193147]",129992313,"""""",327355,513.9,10.3593147,3223.3
51.451283,"[""Moers, Kreis Wesel, Regierungsbezirk D\u00fcsseldorf, Nordrhein-Westfalen, Deutschland"", ""Moers "", ""Moers""]",2223.3,103949,"[51.3907947, 51.5237804, 6.5583684, 6.6787416]",58623,"""""",197689799,532.3,6.62843,6096.5
50.8749804,"[""Siegen, Kreis Siegen-Wittgenstein, Regierungsbezirk Arnsberg, Nordrhein-Westfalen, Deutschland"", ""Siegen "", ""Siegen""]",1468.5,102337,"[50.8114072, 50.9513102, 7.9215923, 8.1279162]",163256,"""""",197880988,602.2,8.0227233,4405.5
52.1521636,"[""Hildesheim, Landkreis Hildesheim, Niedersachsen, Deutschland, Europe"", ""Hildesheim"", ""Hildesheim ""]",1782.8,101744,"[52.0935785, 52.1938772, 9.8465506, 10.0428454]",1176503,"""""",198868979,800.0,9.9513046,4545.4
51.7567447,"[""Cottbus - Ch\u00f3\u015bebuz, Brandenburg, 03046, Deutschland"", ""Cottbus""]","""""",101036,"[51.5967447, 51.9167447, 14.1757307, 14.4957307]",1628927045,"""""",17405352,"""""",14.3357307,""""""
49.4432174,"[""Kaiserslautern, Rheinland-Pfalz, 67655, Deutschland"", ""Kaiserslautern"", ""Kaiserslautern ""]",1534.0,99684,"[49.2832174, 49.6032174, 7.6089951, 7.9289951]",240093234,"""""",596602,525.0,7.7689951,4602.0
51.9063997,"[""G\u00fctersloh, Kreis G\u00fctersloh, Regierungsbezirk Detmold, Nordrhein-Westfalen, Deutschland"", ""G\u00fctersloh"", ""G\u00fctersloh ""]",2383.9,99315,"[51.855934, 51.9770906, 8.2839977, 8.5059937]",138119,"""""",198094159,735.3,8.3782078,4316.6
51.4370171,"[""Witten, Ennepe-Ruhr-Kreis, Regierungsbezirk Arnsberg, Nordrhein-Westfalen, Deutschland"", ""Witten""]","""""",96565,"[51.3700726, 51.4843402, 7.2460717, 7.423475]",162826,"""""",197658877,"""""",7.335124,""""""
50.1335542,"[""Hanau, Main-Kinzig-Kreis, Regierungsbezirk Darmstadt, Hessen, Deutschland"", ""Hanau"", ""Hanau ""]",2493.9,96130,"[50.0753198, 50.1955019, 8.8619841, 9.0302592]",535895,"""""",198890388,711.4,8.9168179,6146.2
53.6288297,"[""Schwerin, Mecklenburg-Vorpommern, Deutschland"", ""Schwerin "", ""Schwerin""]",1925.4,95797,"[53.5443597, 53.6873387, 11.2960272, 11.505544]",62685,"""""",197694700,552.4,11.4148038,4739.1
50.8772301,"[""Gera, Th\u00fcringen, Deutschland"", ""Gera "", ""Gera""]",1251.1,94859,"[50.7986158, 50.9765857, 11.9981564, 12.1695244]",62671,"""""",197694625,521.7,12.0796208,3391.3
