Lfd. Nr.,Land,RB,Kreis,VB,Gem,Stadt,Post-leitzahl 1),Fläche in km2 2),Bevölkerung insgesamt,männlich,weiblich,je km2
1810,12,0,62,0341,341,"Mühlberg/Elbe, Stadt",04931,  89.20, 3 745, 1 863, 1 882, 42
1811,16,0,77,0028,028,"Lucka, Stadt",04613,  12.93, 3 742, 1 802, 1 940, 289
1812,14,6,27,0270,270,"Strehla, Stadt",01616,  30.28, 3 728, 1 821, 1 907, 123
1813,16,0,75,5011,116,"Triptis, Stadt",07819,  33.15, 3 711, 1 842, 1 869, 112
1814,14,6,26,0530,530,"Seifhennersdorf, Stadt",02782,  19.12, 3 707, 1 815, 1 892, 194
1815,09,1,82,0132,132,"Tegernsee, St",83682,  22.77, 3 687, 1 731, 1 956, 162
1816,08,1,28,5003,047,"Grünsfeld, Stadt",97947,  44.72, 3 673, 1 851, 1 822, 82
1817,14,5,23,0040,040,"Bad Elster, Stadt",08645,  19.77, 3 668, 1 756, 1 912, 186
1818,14,6,26,5203,010,"Bad Muskau, Stadt",02953,  15.38, 3 658, 1 786, 1 872, 238
1819,12,0,66,5607,272,"Ruhland, Stadt",01945,  37.22, 3 655, 1 787, 1 868, 98
1820,14,5,24,0310,310,"Wildenfels, Stadt",08134,  20.69, 3 647, 1 841, 1 806, 176
1821,06,6,33,0002,002,"Bad Karlshafen, Stadt",34385,  14.85, 3 641, 1 817, 1 824, 245
1822,09,6,74,0164,164,"Königsberg i.Bay., St",97484,  61.88, 3 633, 1 820, 1 813, 59
1823,14,6,28,5204,030,"Bad Schandau, Stadt",01814,  46.76, 3 625, 1 779, 1 846, 78
1824,16,0,64,5009,057,"Schlotheim, Stadt",99994,  22.40, 3 618, 1 776, 1 842, 162
1825,16,0,75,0132,132,"Tanna, Stadt",07922,  87.35, 3 612, 1 797, 1 815, 41
1826,08,3,27,5001,036,"Mühlheim an der Donau, Stadt",78570,  21.74, 3 605, 1 803, 1 802, 166
1827,15,0,83,5054,245,"Gröningen, Stadt",39397,  59.68, 3 598, 1 787, 1 811, 60
1828,16,0,76,5051,003,"Bad Köstritz, Stadt",07586,  16.93, 3 571, 1 710, 1 861, 211
1829,16,0,65,5002,023,"Greußen, Stadt",99718,  19.21, 3 557, 1 750, 1 807, 185
1830,16,0,76,0092,092,"Auma-Weidatal, Stadt",07955,  55.91, 3 557, 1 773, 1 784, 64
1831,13,0,76,5656,048,"Goldberg, Stadt",19399,  64.72, 3 550, 1 715, 1 835, 55
1832,16,0,70,0032,032,"Langewiesen, Stadt",98704,  27.51, 3 535, 1 758, 1 777, 128
1833,14,5,21,5110,210,"Geyer, Stadt",09468,  18.56, 3 518, 1 715, 1 803, 190
1834,09,4,72,0143,143,"Goldkronach, St",95497,  23.24, 3 509, 1 716, 1 793, 151
1835,07,1,37,5002,501,"Münstermaifeld, Stadt",56294,  27.77, 3 508, 1 718, 1 790, 126
1836,13,0,74,5458,065,"Rehna, Stadt",19217,  44.59, 3 497, 1 754, 1 743, 78
1837,12,0,71,0408,408,"Welzow, Stadt",03119,  39.57, 3 490, 1 717, 1 773, 88
1838,03,2,55,5409,013,"Eschershausen, Stadt",37632,  23.92, 3 474, 1 743, 1 731, 145
1839,13,0,72,5256,056,"Krakow am See, Stadt",18292,  87.37, 3 472, 1 732, 1 740, 40
1840,06,4,31,0012,012,"Hirschhorn (Neckar), Stadt",69434,  30.85, 3 465, 1 716, 1 749, 112
1841,12,0,68,5805,324,"Neustadt (Dosse), Stadt",16845,  75.87, 3 454, 1 692, 1 762, 46
1842,16,0,68,0058,058,"Weißensee, Stadt",99631,  46.71, 3 443, 1 693, 1 750, 74
1843,16,0,75,0135,135,"Saalburg-Ebersdorf, Stadt",07929,  72.05, 3 442, 1 694, 1 748, 48
1844,08,1,16,5002,054,"Owen, Stadt",73277,  9.70, 3 434, 1 724, 1 710, 354
1845,07,2,32,5007,123,"Speicher, Stadt",54662,  15.36, 3 429, 1 686, 1 743, 223
1846,09,3,72,0154,154,"Rötz, St",92443,  66.68, 3 428, 1 757, 1 671, 51
1847,09,4,76,0152,152,"Ludwigsstadt, St",96333,  58.75, 3 423, 1 694, 1 729, 58
1848,15,0,87,5051,250,"Kelbra (Kyffhäuser), Stadt",06537,  40.55, 3 420, 1 698, 1 722, 84
1849,14,6,26,5224,350,"Neusalza-Spremberg, Stadt",02742,  22.91, 3 410, 1 683, 1 727, 149
1850,16,0,77,5050,012,"Gößnitz, Stadt",04639,  14.07, 3 403, 1 644, 1 759, 242
1851,12,0,60,5006,100,"Joachimsthal, Stadt",16247,  121.68, 3 373, 1 708, 1 665, 28
1852,14,6,26,5206,030,"Bernstadt a. d. Eigen, Stadt",02748,  52.00, 3 365, 1 688, 1 677, 65
1853,16,0,72,0011,011,"Lauscha, Stadt",98724,  18.72, 3 363, 1 653, 1 710, 180
1854,08,1,25,5011,059,"Löwenstein, Stadt",74245,  23.46, 3 356, 1 701, 1 655, 143
1855,16,0,71,5007,046,"Kranichfeld, Stadt",99448,  23.10, 3 354, 1 662, 1 692, 145
1856,07,1,35,5003,083,"Ulmen, Stadt",56766,  28.74, 3 340, 1 658, 1 682, 116
1857,16,0,76,0004,004,"Berga/Elster, Stadt",07980,  43.52, 3 339, 1 654, 1 685, 77
1858,01,0,51,5178,127,"Wesselburen, Stadt",25764,  5.13, 3 336, 1 603, 1 733, 650
1859,16,0,63,5058,102,"Kaltennordheim, Stadt",36452,  40.48, 3 326, 1 678, 1 648, 82
1860,09,6,73,5639,153,"Ostheim v.d.Rhön, St",97642,  40.85, 3 315, 1 654, 1 661, 81
1861,15,0,89,5051,075,"Egeln, Stadt",39435,  29.33, 3 306, 1 617, 1 689, 113
1862,16,0,66,5013,086,"Wasungen, Stadt",98634,  29.51, 3 306, 1 670, 1 636, 112
