Lfd. Nr.,Land,RB,Kreis,VB,Gem,Stadt,Post-leitzahl 1),Fläche in km2 2),Bevölkerung insgesamt,männlich,weiblich,je km2
1863,14,6,28,0190,190,"Hohnstein, Stadt",01848,  64.64, 3 297, 1 647, 1 650, 51
1864,07,1,33,5008,103,"Stromberg, Stadt",55442,  9.01, 3 286, 1 573, 1 713, 365
1865,09,4,79,0129,129,"Kirchenlamitz, St",95153,  48.48, 3 281, 1 611, 1 670, 68
1866,08,1,18,5008,059,"Oberriexingen, Stadt",71739,  8.16, 3 280, 1 656, 1 624, 402
1867,12,0,62,0469,469,"Sonnewalde, Stadt",03249,  119.29, 3 256, 1 655, 1 601, 27
1868,12,0,71,5102,044,"Döbern, Stadt",03159,  15.79, 3 250, 1 555, 1 695, 206
1869,09,5,75,5524,115,"Burgbernheim, St",91593,  42.30, 3 244, 1 622, 1 622, 77
1870,13,0,74,5457,084,"Warin, Stadt",19417,  44.45, 3 242, 1 594, 1 648, 73
1871,12,0,69,5902,270,"Havelsee, Stadt",14798,  81.97, 3 229, 1 608, 1 621, 39
1872,12,0,73,0384,384,"Lychen, Stadt",17279,  111.99, 3 207, 1 546, 1 661, 29
1873,09,4,79,0150,150,"Schönwald, St",95169,  19.19, 3 204, 1 531, 1 673, 167
1874,09,3,77,0112,112,"Bärnau, St",95667,  74.41, 3 190, 1 662, 1 528, 43
1875,14,5,23,5131,370,"Schöneck/Vogtl., Stadt",08261,  55.06, 3 184, 1 545, 1 639, 58
1876,08,3,27,5001,016,"Fridingen an der Donau, Stadt",78567,  22.47, 3 176, 1 593, 1 583, 141
1877,07,2,33,5003,029,"Hillesheim, Stadt",54576,  20.66, 3 168, 1 557, 1 611, 153
1878,06,5,35,0010,010,"Kirtorf, Stadt",36320,  79.91, 3 164, 1 603, 1 561, 40
1879,07,1,35,5002,045,"Kaisersesch, Stadt",56759,  8.18, 3 164, 1 532, 1 632, 387
1880,09,4,77,5435,156,"Stadtsteinach, St",95343,  39.79, 3 161, 1 541, 1 620, 79
1881,16,0,75,0133,133,"Wurzbach, Stadt",07343,  72.32, 3 159, 1 579, 1 580, 44
1882,14,6,25,0610,610,"Weißenberg, Stadt",02627,  50.96, 3 157, 1 618, 1 539, 62
1883,12,0,64,5406,268,"Lebus, Stadt",15326,  54.29, 3 154, 1 577, 1 577, 58
1884,09,4,79,0166,166,"Weißenstadt, St",95159,  42.23, 3 142, 1 537, 1 605, 74
1885,15,0,84,5053,360,"Nebra (Unstrut), Stadt",06642,  25.42, 3 142, 1 548, 1 594, 124
1886,16,0,74,5051,009,"Bürgel, Stadt",07616,  27.19, 3 137, 1 564, 1 573, 115
1887,13,0,74,5454,039,"Klütz, Stadt",23948,  44.41, 3 133, 1 501, 1 632, 71
1888,09,4,79,0135,135,"Marktleuthen, St",95164,  35.48, 3 122, 1 532, 1 590, 88
1889,06,6,33,0016,016,"Liebenau, Stadt",34396,  48.88, 3 098, 1 515, 1 583, 63
1890,07,1,41,5009,501,"Braubach, Stadt",56338,  19.50, 3 093, 1 555, 1 538, 159
1891,08,2,35,5005,084,"Bad Teinach-Zavelstein, Stadt",75385,  25.17, 3 089, 1 601, 1 488, 123
1892,08,1,26,5001,085,"Waldenburg, Stadt",74638,  31.55, 3 087, 1 594, 1 493, 98
1893,09,4,72,0197,197,"Waischenfeld, St",91344,  57.19, 3 074, 1 593, 1 481, 54
1894,09,5,71,5538,229,"Wolframs-Eschenbach, St",91639,  25.47, 3 072, 1 482, 1 590, 121
1895,09,6,75,0158,158,"Prichsenstadt, St",97357,  48.87, 3 067, 1 587, 1 480, 63
1896,12,0,62,0461,461,"Schönewalde, Stadt",04916,  156.18, 3 055, 1 583, 1 472, 20
1897,12,0,68,5804,280,"Lindow (Mark), Stadt",16835,  65.47, 3 054, 1 552, 1 502, 47
1898,13,0,76,5654,034,"Dömitz, Stadt",19303,  60.58, 3 049, 1 490, 1 559, 50
1899,09,6,79,5646,124,"Eibelstadt, St",97246,  7.07, 3 034, 1 455, 1 579, 429
1900,13,0,71,5155,159,"Wesenberg, Stadt",17255,  89.63, 3 024, 1 497, 1 527, 34
1901,06,6,35,0014,014,"Hatzfeld (Eder), Stadt",35116,  58.51, 3 024, 1 543, 1 481, 52
1902,13,0,75,5563,044,"Gützkow, Stadt",17506,  57.65, 3 021, 1 506, 1 515, 52
1903,06,5,35,0018,018,"Ulrichstein, Stadt",35327,  65.61, 2 995, 1 511, 1 484, 46
1904,12,0,67,0137,137,"Friedland, Stadt",15848,  174.23, 2 959, 1 505, 1 454, 17
1905,09,5,71,0177,177,"Merkendorf, St",91732,  26.07, 2 955, 1 507, 1 448, 113
1906,13,0,75,5554,054,"Jarmen, Stadt",17126,  30.71, 2 948, 1 475, 1 473, 96
1907,07,1,37,5009,221,"Rhens, Stadt",56321,  16.31, 2 939, 1 428, 1 511, 180
1908,16,0,76,5006,049,"Münchenbernsdorf, Stadt",07589,  15.45, 2 936, 1 425, 1 511, 190
1909,13,0,72,5254,035,"Gnoien, Stadt",17179,  41.11, 2 928, 1 428, 1 500, 71
1910,06,6,35,0010,010,"Frankenau, Stadt",35110,  57.29, 2 908, 1 461, 1 447, 51
1911,16,0,73,0105,105,"Remda-Teichel, Stadt",07407,  79.76, 2 898, 1 479, 1 419, 36
1912,07,1,31,5001,001,"Adenau, Stadt",53518,  18.56, 2 894, 1 428, 1 466, 156
1913,16,0,69,0051,051,"Themar, Stadt",98660,  20.18, 2 888, 1 420, 1 468, 143
1914,15,0,84,5053,285,"Laucha an der Unstrut, Stadt",06636,  31.14, 2 882, 1 458, 1 424, 93
1915,16,0,72,5050,015,"Schalkau, Stadt",96528,  33.57, 2 882, 1 441, 1 441, 86
1916,14,5,22,0170,170,"Frauenstein, Stadt",09623,  58.99, 2 860, 1 455, 1 405, 48
1917,14,5,21,5140,180,"Elterlein, Stadt",09481,  45.74, 2 854, 1 419, 1 435, 62
1918,08,2,25,5007,114,"Ravenstein, Stadt",74747,  55.97, 2 854, 1 472, 1 382, 51
1919,07,1,40,5006,112,"Oberwesel, Stadt",55430,  18.08, 2 848, 1 378, 1 470, 158
1920,07,1,33,5005,065,"Meisenheim, Stadt",55590,  10.33, 2 809, 1 379, 1 430, 272
1921,09,5,71,5502,198,"Schillingsfürst, St",91583,  27.50, 2 801, 1 405, 1 396, 102
1922,07,1,43,5007,067,"Selters (Westerwald), Stadt",56242,  8.70, 2 795, 1 384, 1 411, 321
1923,03,3,54,5407,026,"Wustrow (Wendland), Stadt",29462,  30.19, 2 792, 1 401, 1 391, 92
1924,08,3,15,5012,111,"Sulzburg, Stadt",79295,  22.74, 2 771, 1 338, 1 433, 122
1925,15,0,84,5051,015,"Bad Bibra, Stadt",06647,  49.77, 2 769, 1 388, 1 381, 56
1926,07,1,40,5006,133,"Sankt Goar, Stadt",56329,  23.17, 2 763, 1 396, 1 367, 119
1927,14,6,25,0130,130,"Elstra, Stadt",01920,  32.63, 2 744, 1 389, 1 355, 84
1928,09,4,76,0184,184,"Wallenfels, St",96343,  45.65, 2 739, 1 369, 1 370, 60
1929,01,0,54,5417,036,"Garding, Stadt",25836,  3.06, 2 719, 1 289, 1 430, 889
1930,12,0,70,5009,325,"Putlitz, Stadt",16949,  119.68, 2 707, 1 400, 1 307, 23
1931,14,5,21,0330,330,"Jöhstadt, Stadt",09477,  49.70, 2 701, 1 383, 1 318, 54
1932,06,5,35,0014,014,"Romrod, Stadt",36329,  54.43, 2 690, 1 327, 1 363, 49
1933,13,0,73,5360,093,"Tribsees, Stadt",18465,  54.98, 2 647, 1 279, 1 368, 48
1934,16,0,65,5052,014,"Ebeleben, Stadt",99713,  40.74, 2 609, 1 299, 1 310, 64
1935,15,0,89,5052,005,"Alsleben (Saale), Stadt",06425,  23.64, 2 587, 1 255, 1 332, 109
1936,08,1,17,5006,061,"Lauterstein, Stadt",73111,  23.31, 2 586, 1 282, 1 304, 111
1937,16,0,70,5003,025,"Großbreitenbach, Stadt",98701,  19.60, 2 582, 1 337, 1 245, 132
1938,12,0,70,5001,008,"Bad Wilsnack, Stadt",19336,  79.62, 2 576, 1 226, 1 350, 32
1939,16,0,74,5005,116,"Schkölen, Stadt",07613,  53.43, 2 575, 1 324, 1 251, 48
1940,13,0,76,5664,020,"Brüel, Stadt",19412,  27.21, 2 571, 1 265, 1 306, 94
1941,01,0,54,0033,033,"Friedrichstadt, Stadt",25866,  4.02, 2 564, 1 209, 1 355, 638
1942,12,0,61,5114,164,"Golßen, Stadt",15938,  63.68, 2 553, 1 267, 1 286, 40
1943,14,7,29,0230,230,"Kohren-Sahlis, Stadt",04655,  36.80, 2 551, 1 285, 1 266, 69
1944,12,0,63,5302,088,"Friesack, Stadt",14662,  84.01, 2 550, 1 295, 1 255, 30
1945,12,0,73,5304,189,"Gartz (Oder), Stadt",16307,  61.89, 2 550, 1 240, 1 310, 41
1946,15,0,85,5051,365,"Wegeleben, Stadt",38828,  51.78, 2 541, 1 283, 1 258, 49
1947,16,0,68,5001,006,"Buttstädt, Stadt",99628,  18.36, 2 502, 1 249, 1 253, 136
1948,16,0,68,5006,042,"Rastenberg, Stadt",99625,  35.52, 2 495, 1 264, 1 231, 70
1949,16,0,64,5001,004,"Bad Tennstedt, Stadt",99955,  27.42, 2 487, 1 207, 1 280, 91
1950,14,7,30,5303,090,"Dommitzsch, Stadt",04880,  30.44, 2 484, 1 230, 1 254, 82
1951,15,0,85,5051,285,"Schwanebeck, Stadt",39397,  32.66, 2 479, 1 212, 1 267, 76
1952,08,4,37,5002,101,"Scheer, Stadt",72516,  18.72, 2 475, 1 274, 1 201, 132
1953,15,0,84,5054,375,"Osterfeld, Stadt",06721,  27.61, 2 473, 1 286, 1 187, 90
1954,09,3,76,5344,160,"Schönsee, St",92539,  50.28, 2 471, 1 247, 1 224, 49
1955,09,4,72,5417,118,"Betzenstein, St",91282,  51.84, 2 467, 1 238, 1 229, 48
1956,16,0,75,0131,131,"Gefell, Stadt",07926,  45.22, 2 465, 1 215, 1 250, 55
1957,12,0,69,5918,696,"Ziesar, Stadt",14793,  67.95, 2 442, 1 198, 1 244, 36
1958,08,3,36,5006,079,"Schönau im Schwarzwald, Stadt",79677,  14.72, 2 442, 1 207, 1 235, 166
1959,09,3,74,5331,147,"Pleystein, St",92714,  42.40, 2 421, 1 204, 1 217, 57
1960,12,0,62,5209,445,"Schlieben, Stadt",04936,  78.65, 2 414, 1 207, 1 207, 31
1961,15,0,84,5051,125,"Eckartsberga, Stadt",06648,  35.97, 2 410, 1 246, 1 164, 67
1962,14,5,21,5130,520,"Schlettau, Stadt",09487,  21.22, 2 388, 1 161, 1 227, 113
1963,06,5,35,0006,006,"Grebenau, Stadt",36323,  55.34, 2 388, 1 223, 1 165, 43
1964,01,0,61,5153,055,"Krempe, Stadt",25361,  3.39, 2 384, 1 171, 1 213, 703
1965,16,0,65,5002,084,"Großenehrich, Stadt",99718,  63.34, 2 356, 1 184, 1 172, 37
1966,16,0,63,5004,072,"Stadtlengsfeld, Stadt",36466,  27.70, 2 356, 1 196, 1 160, 85
1967,16,0,63,5006,013,"Creuzburg, Stadt",99826,  35.40, 2 338, 1 160, 1 178, 66
1968,03,3,58,5402,018,"Rethem (Aller), Stadt",27336,  34.08, 2 326, 1 152, 1 174, 68
1969,14,6,26,0420,420,"Ostritz, Stadt",02899,  23.48, 2 307, 1 135, 1 172, 98
1970,08,3,35,5001,001,"Aach, Stadt",78267,  10.68, 2 302, 1 177, 1 125, 216
1971,09,6,73,5637,123,"Fladungen, St",97648,  46.34, 2 271, 1 159, 1 112, 49
1972,07,1,41,5005,068,"Katzenelnbogen, Stadt",56368,  9.18, 2 228, 1 081, 1 147, 243
1973,16,0,65,5001,033,"Heldrungen, Stadt",06577,  23.27, 2 207, 1 083, 1 124, 95
1974,13,0,73,5353,027,"Garz/Rügen, Stadt",18574,  65.89, 2 201, 1 106, 1 095, 33
1975,08,4,15,5006,034,"Hayingen, Stadt",72534,  63.36, 2 200, 1 124, 1 076, 35
1976,06,6,35,0017,017,"Rosenthal, Stadt",35119,  51.55, 2 188, 1 104, 1 084, 42
1977,12,0,60,5011,176,"Oderberg, Stadt",16230,  36.12, 2 171, 1 096, 1 075, 60
1978,09,6,75,0144,144,"Mainbernheim, St",97350,  12.21, 2 165, 1 091, 1 074, 177
1979,13,0,72,5259,085,"Rerik, Stadt",18230,  34.22, 2 161, 1 028, 1 133, 63
1980,08,4,37,5001,114,"Veringenstadt, Stadt",72519,  31.25, 2 144, 1 073, 1 071, 69
1981,12,0,66,5606,240,"Ortrand, Stadt",01990,  7.36, 2 138, 1 046, 1 092, 290
1982,12,0,70,5005,244,"Lenzen (Elbe), Stadt",19309,  96.19, 2 136, 1 035, 1 101, 22
1983,16,0,68,5002,014,"Gebesee, Stadt",99189,  24.08, 2 129, 1 063, 1 066, 88
1984,07,3,36,5008,058,"Lauterecken, Stadt",67742,  8.89, 2 127, 1 042, 1 085, 239
1985,16,0,75,0046,046,"Hirschberg, Stadt",07927,  24.13, 2 121, 1 057, 1 064, 88
1986,16,0,73,0106,106,"Leutenberg, Stadt",07338,  57.52, 2 115, 1 053, 1 062, 37
1987,14,5,21,0440,440,"Oberwiesenthal, Kurort, Stadt",09484,  40.02, 2 108, 1 030, 1 078, 53
1988,12,0,70,5006,280,"Meyenburg, Stadt",16945,  50.74, 2 104, 1 059, 1 045, 41
1989,14,6,28,5219,210,"Königstein/Sächs. Schw., Stadt",01824,  27.04, 2 092, 1 058, 1 034, 77
1990,14,5,21,5130,510,"Scheibenberg, Stadt",09481,  9.00, 2 091, 1 045, 1 046, 232
1991,08,1,17,5007,058,"Wiesensteig, Stadt",73349,  23.41, 2 053, 1 049, 1 004, 88
1992,16,0,69,5004,002,"Bad Colberg-Heldburg, Stadt",98663,  53.39, 2 045, 1 052,  993, 38
1993,12,0,69,5910,448,"Niemegk, Stadt",14823,  45.12, 2 043, 1 047,  996, 45
1994,16,0,71,5008,053,"Magdala, Stadt",99441,  20.58, 2 014, 1 013, 1 001, 98
1995,16,0,73,5005,028,"Gräfenthal, Stadt",98743,  36.42, 1 980,  975, 1 005, 54
1996,09,4,76,5433,180,"Teuschnitz, St",96356,  34.25, 1 978,  965, 1 013, 58
1997,09,6,75,5618,149,"Marktsteft, St",97340,  10.51, 1 969, 1 025,  944, 187
1998,09,6,77,0177,177,"Rieneck, St",97794,  26.19, 1 967,  952, 1 015, 75
1999,07,3,36,5008,105,"Wolfstein, Stadt",67752,  13.75, 1 960,  987,  973, 143
2000,03,2,57,5407,033,"Sachsenhagen, Stadt",31553,  15.29, 1 934,  953,  981, 126
2001,09,4,75,5431,165,"Schauenstein, St",95197,  26.66, 1 918,  943,  975, 72
2002,07,3,39,5001,003,"Bacharach, Stadt",55422,  23.35, 1 898,  951,  947, 81
2003,16,0,68,5005,029,"Kindelbrück, Stadt",99638,  13.36, 1 894,  938,  956, 142
2004,12,0,61,5108,492,"Teupitz, Stadt",15755,  48.15, 1 880,  977,  903, 39
2005,16,0,65,5054,081,"Wiehe, Stadt",06571,  24.53, 1 871,  922,  949, 76
2006,12,0,73,5303,085,"Brüssow, Stadt",17326,  101.83, 1 859,  930,  929, 18
2007,16,0,70,5007,043,"Plaue, Stadt",99330,  18.19, 1 834,  914,  920, 101
2008,08,1,27,5004,047,"Langenburg, Stadt",74595,  31.40, 1 834,  934,  900, 58
2009,08,1,25,5007,103,"Widdern, Stadt",74259,  25.23, 1 833,  943,  890, 73
2010,09,5,74,5527,160,"Velden, St",91235,  21.34, 1 814,  912,  902, 85
2011,14,5,22,5129,520,"Sayda, Stadt",09619,  35.30, 1 813,  903,  910, 51
2012,13,0,75,5556,107,"Penkun, Stadt",17328,  78.88, 1 806,  913,  893, 23
2013,08,4,37,5001,047,"Hettingen, Stadt",72513,  46.06, 1 797,  907,  890, 39
2014,13,0,75,5562,137,"Usedom, Stadt",17406,  38.98, 1 776,  869,  907, 46
2015,13,0,71,5153,109,"Neukalen, Stadt",17154,  47.97, 1 749,  867,  882, 36
2016,13,0,73,5360,007,"Bad Sülze, Stadt",18334,  26.66, 1 743,  877,  866, 65
2017,16,0,75,5013,088,"Ranis, Stadt",07389,  10.57, 1 699,  814,  885, 161
2018,09,6,79,5654,182,"Röttingen, St",97285,  27.21, 1 688,  829,  859, 62
2019,16,0,73,5001,065,"Oberweißbach/Thür. Wald, Stadt",98744,  9.65, 1 678,  780,  898, 174
2020,09,5,71,5506,189,"Ornbau, St",91746,  15.16, 1 669,  855,  814, 110
2021,16,0,73,5005,046,"Lehesten, Stadt",07330,  35.94, 1 661,  848,  813, 46
2022,16,0,66,0047,047,"Oberhof, Stadt",98559,  23.40, 1 634,  800,  834, 70
2023,12,0,63,5309,260,"Rhinow, Stadt",14728,  31.66, 1 605,  797,  808, 51
2024,14,6,28,5221,370,"Stadt Wehlen, Stadt",01829,  10.85, 1 566,  798,  768, 144
2025,13,0,75,5551,074,"Lassan, Stadt",17440,  28.21, 1 532,  781,  751, 54
2026,09,6,76,5632,158,"Stadtprozelten, St",97909,  10.87, 1 530,  789,  741, 141
2027,07,2,32,5005,088,"Neuerburg, Stadt",54673,  10.17, 1 523,  745,  778, 150
2028,15,0,90,5051,010,"Arneburg, Stadt",39596,  30.64, 1 512,  735,  777, 49
2029,12,0,64,5408,084,"Buckow (Märkische Schweiz), Stadt",15377,  14.42, 1 479,  735,  744, 103
2030,07,3,40,5008,211,"Hornbach, Stadt",66500,  13.34, 1 472,  743,  729, 110
2031,16,0,76,5056,029,"Hohenleuben, Stadt",07957,  9.53, 1 461,  801,  660, 153
2032,09,6,79,5644,114,"Aub, St",97239,  17.54, 1 455,  735,  720, 83
2033,09,4,79,5443,127,"Hohenberg a.d.Eger, St",95691,  15.66, 1 452,  718,  734, 93
2034,15,0,83,5054,355,"Kroppenstedt, Stadt",39397,  38.65, 1 440,  720,  720, 37
2035,13,0,73,5355,024,"Franzburg, Stadt",18461,  15.20, 1 394,  683,  711, 92
2036,07,2,31,5008,080,"Manderscheid, Stadt",54531,  10.06, 1 389,  656,  733, 138
2037,12,0,61,5113,308,"Lieberose, Stadt",15868,  73.03, 1 379,  692,  687, 19
2038,16,0,71,5013,011,"Buttelstedt, Stadt",99439,  18.85, 1 317,  661,  656, 70
2039,07,1,41,5009,121,"Sankt Goarshausen, Loreleystadt, Stadt",56346,  7.06, 1 302,  651,  651, 184
2040,13,0,73,5355,076,"Richtenberg, Stadt",18461,  15.68, 1 295,  650,  645, 83
2041,14,6,28,5202,230,"Liebstadt, Stadt",01825,  37.36, 1 294,  659,  635, 35
2042,06,6,34,0023,023,"Schwarzenborn, Stadt",34639,  26.90, 1 275,  715,  560, 47
2043,09,3,74,5327,140,"Neustadt am Kulm, St",92672,  20.30, 1 118,  542,  576, 55
2044,16,0,74,5011,065,"Orlamünde, Stadt",07768,  7.47, 1 117,  547,  570, 150
2045,15,0,88,5051,340,"Schraplau, Stadt",06279,  7.06, 1 101,  531,  570, 156
2046,15,0,90,5051,610,"Werben (Elbe), Hansestadt",39615,  53.37, 1 088,  557,  531, 20
2047,09,4,75,5428,146,"Lichtenberg, St",95192,  9.47, 1 053,  518,  535, 111
2048,16,0,65,5002,012,"Clingen, Stadt",99718,  10.75, 1 051,  521,  530, 98
2049,07,3,33,5001,054,"Obermoschel, Stadt",67823,  10.15, 1 049,  527,  522, 103
2050,09,4,77,5437,129,"Kupferberg, St",95369,  8.29, 1 036,  517,  519, 125
2051,09,6,77,5621,181,"Rothenfels, St",97828,  12.07, 1 012,  518,  494, 84
2052,15,0,84,5054,470,"Stößen, Stadt",06667,  7.29,  913,  438,  475, 125
2053,07,2,32,5008,070,"Kyllburg, Stadt",54655,  4.62,  890,  453,  437, 193
2054,15,0,90,5052,445,"Sandau (Elbe), Stadt",39524,  18.58,  868,  423,  445, 47
2055,07,1,41,5009,069,"Kaub, Stadt",56349,  13.05,  856,  445,  411, 66
2056,12,0,61,5108,328,"Märkisch Buchholz, Stadt",15748,  24.86,  804,  398,  406, 32
2057,16,0,75,5013,127,"Ziegenrück, Stadt",07924,  8.25,  647,  309,  338, 78
2058,03,3,54,5403,021,"Schnackenburg, Stadt",29493,  23.76,  562,  281,  281, 24
2059,16,0,71,5013,061,"Neumark, Stadt",99439,  8.67,  486,  253,  233, 56
2060,16,0,69,5004,052,"Ummerstadt, Stadt",98663,  15.73,  462,  239,  223, 29
2061,01,0,59,5920,002,"Arnis, Stadt",24399,  0.45,  280,  149,  131, 622
